run_id,state,output_qc,reason
SRC001_B0,NOT_SUBMITTED,,
SRC001_TRIULVZ,NOT_SUBMITTED,,
SRC002_B0,NOT_SUBMITTED,,
SRC002_TRIULVZ,NOT_SUBMITTED,,
SRC003_B0,NOT_SUBMITTED,,
SRC003_TRIULVZ,NOT_SUBMITTED,,
SRC004_B0,NOT_SUBMITTED,,
SRC004_TRIULVZ,NOT_SUBMITTED,,
SRC005_B0,NOT_SUBMITTED,,
SRC005_TRIULVZ,NOT_SUBMITTED,,
SRC006_B0,NOT_SUBMITTED,,
SRC006_TRIULVZ,NOT_SUBMITTED,,
SRC007_B0,NOT_SUBMITTED,,
SRC007_TRIULVZ,NOT_SUBMITTED,,
SRC008_B0,NOT_SUBMITTED,,
SRC008_TRIULVZ,NOT_SUBMITTED,,
SRC009_B0,NOT_SUBMITTED,,
SRC009_TRIULVZ,NOT_SUBMITTED,,
SRC010_B0,NOT_SUBMITTED,,
SRC010_TRIULVZ,NOT_SUBMITTED,,
SRC011_B0,NOT_SUBMITTED,,
SRC011_TRIULVZ,NOT_SUBMITTED,,
SRC012_B0,NOT_SUBMITTED,,
SRC012_TRIULVZ,NOT_SUBMITTED,,
SRC013_B0,NOT_SUBMITTED,,
SRC013_TRIULVZ,NOT_SUBMITTED,,
SRC014_B0,NOT_SUBMITTED,,
SRC014_TRIULVZ,NOT_SUBMITTED,,
SRC015_B0,NOT_SUBMITTED,,
SRC015_TRIULVZ,NOT_SUBMITTED,,
SRC016_B0,NOT_SUBMITTED,,
SRC016_TRIULVZ,NOT_SUBMITTED,,
SRC017_B0,NOT_SUBMITTED,,
SRC017_TRIULVZ,NOT_SUBMITTED,,
SRC018_B0,NOT_SUBMITTED,,
SRC018_TRIULVZ,NOT_SUBMITTED,,
SRC019_B0,NOT_SUBMITTED,,
SRC019_TRIULVZ,NOT_SUBMITTED,,
SRC020_B0,NOT_SUBMITTED,,
SRC020_TRIULVZ,NOT_SUBMITTED,,
SRC021_B0,NOT_SUBMITTED,,
SRC021_TRIULVZ,NOT_SUBMITTED,,
SRC022_B0,NOT_SUBMITTED,,
SRC022_TRIULVZ,NOT_SUBMITTED,,
SRC023_B0,NOT_SUBMITTED,,
SRC023_TRIULVZ,NOT_SUBMITTED,,
SRC024_B0,NOT_SUBMITTED,,
SRC024_TRIULVZ,NOT_SUBMITTED,,
SRC025_B0,NOT_SUBMITTED,,
SRC025_TRIULVZ,NOT_SUBMITTED,,
SRC026_B0,NOT_SUBMITTED,,
SRC026_TRIULVZ,NOT_SUBMITTED,,
SRC027_B0,NOT_SUBMITTED,,
SRC027_TRIULVZ,NOT_SUBMITTED,,
SRC028_B0,NOT_SUBMITTED,,
SRC028_TRIULVZ,NOT_SUBMITTED,,
SRC029_B0,NOT_SUBMITTED,,
SRC029_TRIULVZ,NOT_SUBMITTED,,
SRC030_B0,NOT_SUBMITTED,,
SRC030_TRIULVZ,NOT_SUBMITTED,,
SRC031_B0,NOT_SUBMITTED,,
SRC031_TRIULVZ,NOT_SUBMITTED,,
SRC032_B0,NOT_SUBMITTED,,
SRC032_TRIULVZ,NOT_SUBMITTED,,
SRC033_B0,NOT_SUBMITTED,,
SRC033_TRIULVZ,NOT_SUBMITTED,,
SRC034_B0,NOT_SUBMITTED,,
SRC034_TRIULVZ,NOT_SUBMITTED,,
SRC035_B0,NOT_SUBMITTED,,
SRC035_TRIULVZ,NOT_SUBMITTED,,
SRC036_B0,NOT_SUBMITTED,,
SRC036_TRIULVZ,NOT_SUBMITTED,,
SRC037_B0,NOT_SUBMITTED,,
SRC037_TRIULVZ,NOT_SUBMITTED,,
SRC038_B0,NOT_SUBMITTED,,
SRC038_TRIULVZ,NOT_SUBMITTED,,
SRC039_B0,NOT_SUBMITTED,,
SRC039_TRIULVZ,NOT_SUBMITTED,,
SRC040_B0,NOT_SUBMITTED,,
SRC040_TRIULVZ,NOT_SUBMITTED,,
SRC041_B0,NOT_SUBMITTED,,
SRC041_TRIULVZ,NOT_SUBMITTED,,
SRC042_B0,NOT_SUBMITTED,,
SRC042_TRIULVZ,NOT_SUBMITTED,,
SRC043_B0,NOT_SUBMITTED,,
SRC043_TRIULVZ,NOT_SUBMITTED,,
SRC044_B0,NOT_SUBMITTED,,
SRC044_TRIULVZ,NOT_SUBMITTED,,
SRC045_B0,NOT_SUBMITTED,,
SRC045_TRIULVZ,NOT_SUBMITTED,,
SRC046_B0,NOT_SUBMITTED,,
SRC046_TRIULVZ,NOT_SUBMITTED,,
SRC047_B0,NOT_SUBMITTED,,
SRC047_TRIULVZ,NOT_SUBMITTED,,
SRC048_B0,NOT_SUBMITTED,,
SRC048_TRIULVZ,NOT_SUBMITTED,,
SRC049_B0,NOT_SUBMITTED,,
SRC049_TRIULVZ,NOT_SUBMITTED,,
SRC050_B0,NOT_SUBMITTED,,
SRC050_TRIULVZ,NOT_SUBMITTED,,
